Sector,Industry,Industry Name,Companies,Establishments,Employees,Revenue,Payroll,Productivity,Avg Salary,Avg. Hr Rate
71,713990,All other amusement and recreation industries,"18,405","19,228","158,656","12,365,041,000","3,184,341,000",390%,"20,071",10.04
71,713290,Other gambling industries,"1,721","2,783","51,642","9,632,901,000","1,555,173,000",620%,"30,114",15.06
71,711212,Racetracks,518,584,"40,090","8,284,692,000","1,224,722,000",680%,"30,549",15.27
71,711410,"Agents and managers for artists, athletes, entertainers, and other public figures","3,919","4,111","21,899","7,867,954,000","2,408,168,000",330%,"109,967",54.98
71,711110,Theater companies and dinner theaters,"3,143","3,244","66,566","7,712,744,000","2,150,834,000",360%,"32,311",16.16
71,711130,Musical groups and artists,"4,822","4,828","38,176","6,019,873,000","1,844,472,000",330%,"48,315",24.16
71,713930,Marinas,"3,533","3,716","28,880","4,539,115,000","1,098,321,000",410%,"38,031",19.02
71,712130,Zoos and botanical gardens,621,646,"39,987","4,442,690,000","1,326,593,000",330%,"33,176",16.59
71,711219,Other spectator sports,"2,499","2,541","15,954","3,667,895,000","995,299,000",370%,"62,386",31.19
71,713120,Amusement arcades,"2,825","3,965","64,539","3,576,262,000","999,324,000",360%,"15,484",7.74
71,713950,Bowling centers,"3,123","3,613","67,712","3,480,185,000","1,038,869,000",340%,"15,342",7.67
71,713920,Skiing facilities,307,336,"76,580","2,989,441,000","949,094,000",310%,"12,393",6.2
71,711190,Other performing arts companies,168,176,"5,760","1,583,502,000","263,063,000",600%,"45,671",22.84
71,712120,Historical sites,956,"1,106","12,750","1,111,064,000","353,377,000",310%,"27,716",13.86
71,712190,Nature parks and other similar institutions,550,665,"7,712","887,559,000","275,534,000",320%,"35,728",17.86
71,711120,Dance companies,583,588,"10,263","841,131,000","293,978,000",290%,"28,644",14.32
72,722511,Full-service restaurants,"217,166","250,843","5,456,424","298,163,647,000","101,475,047,000",290%,"18,597",9.3
72,722513,Limited-service restaurants,"157,214","252,884","4,496,929","253,349,033,000","65,343,742,000",390%,"14,531",7.27
72,721110,Hotels (except casino hotels) and motels,"42,847","53,978","1,608,327","184,410,520,000","44,367,619,000",420%,"27,586",13.79
